,location
0,Bond Street and Gould Street
1,Bond Street and Gould Street
2,Nelson Mandela Walk and Gerrard Street
3,Yonge Street and Gould Street
4,Yonge Street and Dundas Street
5,Jarvis Street and Dundas Street
6,Victoria Street and Dundas Street
7,Victoria Street and Dundas Street
8,Bond Street and Gould Street
9,Victoria Street and Dundas Street
10,Victoria Street and Dundas Street
11,Victoria Street and Dundas Street
12,Victoria Street and Dundas Street
13,Victoria Street and Dundas Street
14,Nelson Mandela Walk and Gould Street
15,Yonge Street and Dundas Street
16,Kerr Hall
17,Victoria Street and Dundas Street
18,Victoria Street and Dundas Street
19,Yonge Street and Gould Street
20,Victoria Street and Dundas Street
21,Church Street and Gould Street
22,Yonge Street and Elm Street
23,Victoria Street and Dundas Street
24,Nelson Mandela Walk and Gould Street
25,Kerr Hall
26,Victoria Street and Dundas Street
27,Yonge Street and Dundas Street
28,Victoria Street and Dundas Street
29,Victoria Street and Dundas Street
30,Victoria Street and Dundas Street
31,Church Street and Gould Street
32,Victoria Street and Dundas Street
33,Yonge Street and Dundas Street
34,Nelson Mandela Walk and Gould Street
35,Yonge Street and Dundas Street
36,Nelson Mandela Walk and Gerrard Street
37,Yonge Street and Dundas Street
38,Victoria Street and Dundas Street
39,Church Street and Gould Street
40,Victoria Street and Dundas Street
41,the Nelson Mandela Walk and Gould Street
42,Church Street and Gould Street
43,Victoria Street and Dundas Street
44,Victoria Street and Dundas Street
45,Church Street and Gould Street
46,Nelson Mandela Walk and Gould Street
47,Church Street and Gerrard Street
48,Bond Street and Gould Street
49,Recreation Athletics Centre
50,Nelson Mandela Walk and Gould Street
51,Church Street and Gould Street
52,Bond Street and Gould Street
53,Church Street and Dundas Street
54,Yonge Street and Dundas Street
55,Victoria Street and Dundas Street
56,Church Street and Dundas Street
57,Yonge Street and Gould Street
58,Victoria Street and Dundas Street
59,Mutual Street and Gould Street
60,Yonge Street and Dundas Street
61,Kerr Hall
62,Victoria Street and Dundas Street
63,Church Street and Gerrard Street
64,Yonge Street and Dundas Street
65,Bond Street and Dundas Street
66,Yonge Street and Dundas Street
67,Church Street and Gould Street
68,Yonge Street and Dundas Street
69,Bond Street and Gould Street
70,Victoria Street and Dundas Street
71,Church Street and Dundas Street
72,Nelson Mandela Walk and Gerrard Street
73,Victoria Street and Dundas Street
74,Church Street and Gerrard Street
75,Victoria Street and Dundas Street
76,Jarvis Street and Gerrard Street
77,Church Street and Gerrard Street
78,Kerr Hall
79,Yonge Street and Gould Street
80,Yonge Street and Dundas Street
81,Church Street and Dundas Street
82,Yonge Street and Gould Street
83,O’Keefe Lane and Gould Street
84,Victoria Street and Dundas Street
85,Yonge Street and Elm Street
86,Nelson Mandela Walk and Gould Street
87,Church Street and Dundas Street
88,Mutual Street and Gerrard Street
89,Victoria Street and Dundas Street
90,Yonge Street and Gould Street
91,Yonge Street and Gould Street
92,Victoria Street and Dundas Street
93,Bond Street and Gould Street
94,Victoria Street and Dundas Street
95,Victoria Street and Dundas Street
96,Yonge Street and College Street
97,Yonge Street and Gould Street
98,Victoria Street and Dundas Street
99,Yonge Street and Gould Street
100,Jarvis Street and Dundas Street
101,Victoria Street and Dundas Street
102,Yonge Street and Dundas Street
103,Yonge Street and Gould Street
104,Victoria Street and Dundas Street
105,Church Street and Carlton Street
106,O’Keefe Lane and Gould Street
107,O’Keefe Lane and Gould Street
108,Church Street and Gould Street
109,Bond Street and Dundas Street
110,Yonge Street and Gerrard Street
111,Yonge Street and Gould Street
112,Yonge Street and Gould Street
113,Yonge Street and Gerrard Street
114,Gold Street and Bond Street
115,Yonge Street and Gerrard Street
116,Mutual Street and Gerrard Street
117,Yonge Street and Gould Street
118,Yonge Street and Gould Street
119,Yonge Street and Gerrard Street
120,Victoria Street and Dundas Street
121,Yonge Street and Gould Street
122,Yonge Street and Gerrard Street
