,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType,Incident Details,Description Details
0,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/09/security-incident-september-9,Assault,2024-09-09T11:55:00.000-04:00,2024-09-04T16:45:00.000-04:00,2024-09-04T13:30:00.000-04:00,Yonge-Dundas Square building,,"A TMU community member reported to TMU Security that an individual punched them on their head. The community member notified building security and they intervened, and the individual left. No visible injuries were reported. The community member declined assistance from Toronto Police Service.","['The individual was described as male, with a dark complexion and approximately 30 to 40 years old. They were wearing a blue baseball hat, green t-shirt, black cargo pants, black boots and carrying a black duffel bag.']"
1,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/09/security-incident-september-4,Sexual Assault: Suspect Arrested,2024-09-04T15:17:00.000-04:00,2024-09-04T03:15:46.417-04:00,2024-09-04T03:15:35.783-04:00,Jarvis Street and Dundas Street East,,A member of the public reported to TMU Security that an individual sexually assaulted them. Toronto Police Service were notified and arrested the individual.,"['The individual was described as male, with a dark complexion, is 29 years old and approximately 168 cm (5â\x80\x996â\x80\x9d). They had long black hair. They were wearing a black hoodie, tan cargo pants and blue sneakers.']"
2,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-29-2,Mischief,2024-08-29T12:37:00.000-04:00,2024-08-27T14:00:00.000-04:00,2024-08-27T14:00:00.000-04:00,Victoria Street and Gould Street,,A member of the public reported to TMU Security that an individual approached them and kicked signage the member of the public was displaying and then left. The community member informed security they would notify Toronto Police Service.,"['The individual was described as male, with a medium complexion and approximately 20 to 25 years old. They had medium length black wavy hair. They were wearing a dark green t-shirt, black cargo pants and multi-coloured sneakers.']"
3,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-29,Mischief,2024-08-29T12:34:00.000-04:00,2024-08-27T13:15:00.000-04:00,2024-08-27T13:15:00.000-04:00,Victoria Street and Gould Street,,A member of the public reported to TMU Security that an individual approached them and kicked signage the member of the public was displaying and then left. The community member informed security they would notify Toronto Police Service.,"['The individual was described as female, with a light complexion and approximately 20 to 25 years old. They had long blonde hair in a ponytail.']"
4,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-26,Assault,2024-08-26T15:40:00.000-04:00,2024-08-21T17:30:00.000-04:00,2024-08-21T17:30:00.000-04:00,Gould Street and Bond Street,,"A TMU community member reported to TMU Security that an individual approached them and threw a non-edged object at them. The object did not hit the TMU community member, and the individual left. Toronto Police Service was notified.Â","['The individual was described as female, with a dark complexion and approximately 163 cm (5â\x80\x994â\x80\x9d). They were wearing a black hoodie, black sweatpants, white sneakers and carrying two white handbags.Â']"
5,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-22,Assault,2024-08-22T12:07:00.000-04:00,2024-08-19T09:00:00.000-04:00,2024-08-18T18:00:00.000-04:00,Gould Street and Victoria Street,,"Toronto Police Service informed TMU Security that an individual approached a member of the public, punched them in the face and then left the area.","['The individual was described as male, with a dark complexion, approximately 30 to 40 years old and approximately 183 cm (6â\x80\x99). They were wearing a black hoodie, grey jeans and white sneakers.']"
6,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-15,Assault,2024-08-15T15:06:00.000-04:00,2024-08-13T12:45:00.000-04:00,2024-08-13T12:15:00.000-04:00,Victoria Street Lane and Bond Street,,"A member of the public reported to TMU Security that an individual approached them, punched them on the face and then left. No visible injuries were reported. Toronto Police Service was notified.Â","['The individual was described as male, with a medium complexion and approximately 30 to 35 years old. They had short black hair. They were wearing a white sleeveless top, gray sweatpants and riding a blue bicycle.Â']"
7,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-7-2,Indecent Act,2024-08-07T16:09:00.000-04:00,2024-08-06T11:00:00.000-04:00,2024-08-06T11:00:00.000-04:00,Victoria Street and Gould Street,,"A TMU community member reported to TMU Security that they witnessed an individual masturbating. Security attended, identified the individual, and barred them from campus.","['The individual was described as male, with a medium complexion and is 33 years old. They had medium-length black hair and a black full beard. They were wearing a black hoodie and a black t-shirt.']"
8,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/08/security-incident-august-7,Assault: Suspect Arrested,2024-08-07T13:17:00.000-04:00,2024-07-31T13:45:00.000-04:00,2024-07-31T13:45:00.000-04:00,Gould Street and Victoria Street,,A TMU community member reported to TMU Security that an individual threw water at them. A member of the public also reported that the same individual hit them on the back with a bicycle and spat at them. The member of the public walked away and the individual followed them and started throwing water at passersby. Security attended and arrested the individual. Toronto Police Service was notified and attended.,"['The individual was described as female, with a light complexion, is 51 years old and approximately 152 cm (5â\x80\x99). They had short grey hair. They were wearing a blue sleeveless top and black jeans.Â']"
9,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-30-2,Assault: Suspect Arrested,2024-07-30T19:53:00.000-04:00,2024-07-28T00:00:00.000-04:00,2024-07-28T00:00:00.000-04:00,Victoria Street and Dundas Street East,,"A passerby notified TMU Security that an individual needed medical assistance. TMU Security located a member of the public with visible injuries who reported that they were stabbed with an edged object. Security provided medical assistance, and Toronto Paramedic Services and Toronto Police Service were notified and attended. Toronto Police Service later informed security they had arrested the individual.Â","['The individual was described as male, with a dark complexion and approximately 170 cm (5â\x80\x997â\x80\x9d). They had short black hair and a black goatee. They were wearing a tan baseball hat, long sleeved gray t-shirt, tan pants and black running shoes.Â']"
