,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType
0,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-26-2,Uttering Threats,2021-01-26T15:57:00.000-05:00,2021-01-18T19:45:00.000-05:00,2021-01-18T19:45:00.000-05:00,Dundas Street East and Mutual Street,
1,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-26,Robbery,2021-01-26T15:54:00.000-05:00,2021-01-18T00:15:00.000-05:00,2021-01-18T00:15:00.000-05:00,Yonge Street and Gould Street,
2,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-5,Other,2021-01-15T13:47:00.000-05:00,2021-01-14T13:00:00.000-05:00,2021-01-12T14:45:00.000-05:00,Yonge Street and Dundas Street West,Toronto Police Service News Release
3,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-4,Criminal Harassment,2021-01-15T13:45:00.000-05:00,2021-01-09T17:30:00.000-05:00,2021-01-09T17:15:00.000-05:00,Gerrard Street East and Church Street,
4,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-3,Assault,2021-01-15T13:41:00.000-05:00,2021-01-03T17:30:00.000-05:00,2021-01-03T17:30:00.000-05:00,Gould Street and Bond Street,
5,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15-2,Indecent Act,2021-01-15T13:39:00.000-05:00,2021-01-01T02:15:00.000-05:00,2021-01-01T02:15:00.000-05:00,Gerrard Street East and Mutual Street,
6,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/01/security-incident-january-15,Assault,2021-01-15T13:35:00.000-05:00,2020-12-19T09:30:00.000-05:00,2020-12-19T09:30:00.000-05:00,Kerr Hall Quad,
7,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/02/security-incident-february-19,Assault,2021-02-19T11:13:00.000-05:00,2021-02-12T01:00:00.000-05:00,2021-02-12T01:00:00.000-05:00,Bond Street and Gould Street,
8,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-28,Assault,2021-07-28T11:36:00.000-04:00,2021-07-26T13:15:00.000-04:00,2021-07-26T13:15:00.000-04:00,Yonge Street and Gould Street,
9,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-23,Uttering Threats,2021-07-23T18:10:00.000-04:00,2021-07-17T21:30:00.000-04:00,2021-07-17T21:30:00.000-04:00,Victoria Street and Gould Street,
10,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-22-2,Assault,2021-07-22T14:08:00.000-04:00,2021-07-19T18:45:00.000-04:00,2021-07-19T18:45:00.000-04:00,Gerrard Street East and Nelson Mandela Walk,
11,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/07/security-incident-july-22,Robbery,2021-07-22T14:06:00.000-04:00,2021-07-20T17:00:00.000-04:00,2021-07-19T02:30:00.000-04:00,Gould Street and Yonge Street,
